"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"The Smart Category Rule will select products with visibility in Catalog, Search or Catalog and Search","The Smart Category Rule will select products with visibility in Catalog, Search or Catalog and Search"
"Please specify a rule.","Please specify a rule."
"Conditions (don\'t add conditions if category is not smart)","Conditions (don\'t add conditions if category is not smart)"
"Smart Category","Smart Category"
"Use for Smart Category Rule","Use for Smart Category Rule"
"Smart Category Product Rule","Smart Category Product Rule"
"has","has"
"does not have","does not have"
"Product %1 a Special Price","Product %1 a Special Price"
"set","set"
"not set","not set"
"Product %1 as New","Product %1 as New"
"Special Price","Special Price"
"New","New"
